,link,title,country,region,date,lead_par
503,https://www.theguardian.com/world/2022/mar/16/how-close-are-china-and-russia-and-where-does-beijing-stand-on-ukraine,How close are China and Russia and where does Beijing stand on Ukraine?,Ukraine,N/A,2022-03-16T15:42:44Z,Putin and Xi have said the bonds between their two countries have ‘no limits’ but what does this mean in practice?
504,https://www.theguardian.com/science/2022/mar/19/nasa-iss-ukraine-war-russia-cooperation,‘That’s just Dmitry’: Nasa plays down threat to ISS amid Ukraine war,Ukraine,N/A,2022-03-19T06:00:19Z,Head of Russian space agency has made provocative comments about ending cooperation with US but missions are proceeding
505,https://www.theguardian.com/world/2022/feb/22/likelihood-of-war-escalates-as-putin-promises-to-support-proxy-ukraine-states,Likelihood of war escalates as Putin promises to support proxy Ukraine states,Ukraine,N/A,2022-02-22T19:45:39Z,Biden denounces Putin’s recognising Donetsk and Luhansk as ‘so-called countries’ and unveils new sanctions
506,https://www.theguardian.com/business/2022/mar/14/ukraine-economy-shrink-2022-imf-russia-war,Ukraine economy could shrink by up to 35% in 2022 says IMF,Ukraine,N/A,2022-03-14T15:30:26Z,Institution believes invasion by Russia will cause ‘devastating’ damage to global economy
507,https://www.theguardian.com/us-news/2022/apr/05/first-thing-zelenskiy-warns-of-worse-atrocities-yet-to-be-uncovered-in-ukraine,Zelenskiy warns of worse atrocities yet to be uncovered | First Thing,Ukraine,N/A,2022-04-05T10:03:59Z,Ukraine’s president prepares to address UN security council but casts doubt on meeting Putin. Plus  why it’s over for fossil fuels
508,https://www.theguardian.com/world/2022/mar/15/russia-ukraine-war-what-we-know-on-day-20-of-the-russian-invasion,Russia-Ukraine war: what we know on day 20 of the Russian invasion,Ukraine,N/A,2022-03-15T18:04:20Z,Two powerful explosions have rocked Kyiv while Russia says its forces have taken control of all territory in Ukraine’s southern Kherson region 
509,https://www.theguardian.com/global-development/2022/mar/14/fears-grow-of-new-crisis-as-refugees-in-belarus-driven-into-ukraine,Fears grow of new crisis as refugees in Belarus driven into Ukraine,Ukraine,N/A,2022-03-14T05:00:00Z,Dozens from Middle East ordered at gunpoint by soldiers to choose between leaving for Poland  where soldiers have beaten them  or Ukraine
510,https://www.theguardian.com/world/2022/apr/04/sanctions-on-russia-must-stay-till-all-troops-leave-ukraine-says-liz-truss,Sanctions on Russia must stay till all troops leave Ukraine says Liz Truss,Ukraine,N/A,2022-04-04T18:56:17Z,Foreign secretary in discussions with Ukrainian foreign minister about intensifying sanctions after atrocities in Bucha
511,https://www.theguardian.com/world/2022/apr/03/all-wars-are-like-this-used-as-a-weapon-of-war-in-ukraine,Rape as a weapon: huge scale of sexual violence inflicted in Ukraine emerges,Ukraine,N/A,2022-04-04T14:39:52Z,Women and girls have recounted the abuse they have suffered at the hands of Russian soldiers
512,https://www.theguardian.com/world/2022/mar/13/us-veteran-ships-film-set-military-equipment-ukraine,US veteran ships Hollywood military gear for real-life use in Ukraine,Ukraine,N/A,2022-03-13T10:00:26Z,A former marine who provides military props to movies is donating boots and camo to soldiers fighting Russian invasion
