,title,url,lead_par,date,country,region
1649,"‘We have the entire world here’: Polish hostel taking in foreigners from Ukraine",https://www.theguardian.com/global-development/2022/mar/21/poland-ukraine-refugees-entire-world-hostel-everyone-welcome,"Nearly 2 million people have fled the Russian invasion of Ukraine to Poland but for non-Ukrainians the reception can be uncertain",2022-03-21T08:15:19Z,Russia,None
1650,"‘Everyone was fighting to get on a train’: the desperation of Ukrainians trying to reach safety",https://www.theguardian.com/world/2022/feb/27/its-been-terrible-the-plight-of-ukrainians-hoping-to-reach-safety,"The railway station in Lviv near the Polish border is overwhelmed with requests but has almost no tickets",2022-02-27T21:55:44Z,Russia,None
1651,"How important is Russian oil and how high could prices go?",https://www.theguardian.com/business/2022/mar/07/how-important-is-russian-oil-and-how-high-could-prices-go,"A prolonged war could take prices above the all-time high adding to inflation and the cost-of-living crisis",2022-03-07T18:29:13Z,Russia,None
1652,"UK considers banning Russian ships from British ports",https://www.theguardian.com/business/2022/feb/27/uk-considers-banning-russian-ships-from-british-ports,"The NS Champion oil tanker majority-owned by the Russian state is due to berth in Orkney on Tuesday",2022-02-27T20:27:11Z,Russia,None
1653,"‘It’s stomach-turning’: the children caught up in Ukraine war",https://www.theguardian.com/world/2022/feb/27/children-caught-up-in-ukraine-war,"Mothers and babies take shelter in hospital bunkers as Russian invasion claims lives of up to 10 children",2022-02-27T18:35:09Z,Russia,None
1654,"‘This is a crazy unjust attack’: Pink Floyd re-form to support Ukraine",https://www.theguardian.com/music/2022/apr/07/pink-floyd-reform-to-support-ukraine,"Exclusive: Disgusted by the Russian invasion David Gilmour speaks about band’s first brand new song in 28 years which samples a Ukrainian musician now on the front line – and expresses ‘disappointment’ in Roger Waters",2022-04-07T15:36:35Z,Russia,None
1655,"Stay or flee? Kyiv comes to terms with disaster of Russian invasion ",https://www.theguardian.com/world/2022/feb/24/kyiv-ukraine-russia-invasion,"Moments of normality puncture mood of shock fear and quiet disgust in Ukraine’s capital",2022-02-24T10:57:43Z,Russia,None
1656,"Ukraine agrees to peace talks ‘without preconditions’ Putin puts nuclear forces on high alert: what we know so far",https://www.theguardian.com/world/2022/feb/27/russian-banks-excluded-from-swift-what-we-know-so-far,"Russian media says two sides will meet in Belarus as Ukraine claims it has repelled attempt to seize Kharkiv",2022-02-27T13:49:13Z,Russia,None
1657,"Johnson-Putin call rescheduled as PM’s diplomacy drive falters",https://www.theguardian.com/politics/2022/feb/01/boris-johnson-rebuffed-in-bid-to-play-key-role-in-ukraine-diplomacy,"PM had to cancel original call because of partygate statement",2022-02-01T14:22:11Z,Russia,None
1658,"Ukraine war: everything we know on day 19 of the Russian invasion",https://www.theguardian.com/world/2022/mar/14/ukraine-war-everything-we-know-on-day-19-of-the-russian-invasion,"Russian shelling hits flats and aircraft plant in Kyiv; Ukraine denies firing missile that Moscow says killed at least 20 people in Donetsk",2022-03-14T18:32:35Z,Russia,None
1659,"Satellite images of corpses in Bucha contradict Russian claims",https://www.theguardian.com/world/2022/apr/05/satellite-images-of-corpses-in-bucha-prove-russian-claims-wrong,"Analysis of the images date massacre to before Russian forces evacuated the Ukrainian city",2022-04-05T16:33:14Z,Russia,None
1660,"Ordinary Russians did not want this war but Putin is trying to make us all complicit | Dmitry Glukhovsky",https://www.theguardian.com/commentisfree/2022/mar/14/ordinary-russians-war-putin-complicit,"Putin tells lie after lie to justify the horror he has unleashed and to convince Russians this war is being waged for their survival",2022-03-14T13:00:15Z,Russia,None
1661,"Snazzy solidarity: is celebrity and fashion support for Ukraine crass?",https://www.theguardian.com/lifeandstyle/2022/mar/11/celebrity-fashion-ukraine-support-blue-yellow-awards-season,"Awards season is amplifying a trend that some see as trivial if it goes no further than a show of blue and yellow ",2022-03-11T13:11:15Z,Russia,None
1662,"Russian far-right politician Vladimir Zhirinovsky dies at 75",https://www.theguardian.com/world/2022/apr/06/russian-far-right-politician-vladimir-zhirinovsky-dies-at-75,"Outspoken ultranationalist regarded as a court jester in the Duma nearly predicted date of Ukraine invasion",2022-04-06T17:06:12Z,Russia,None
1663,"The west stood back and watched in Syria – it must not do the same in Ukraine | Hamish de Bretton-Gordon",https://www.theguardian.com/commentisfree/2022/feb/24/the-west-syria-ukraine-us-allies-vladimir-putin,"It’s time for the US and its allies to show their steel in the face of Putin’s aggression. We have learned that nothing else will work",2022-02-24T06:00:15Z,Russia,None
