,title,url,lead_par,date,region
49,"As violence engulfs them, some Afghans carry notes with their names, blood types and relatives’ phone numbers in case they are killed or severely wounded.",https://www.nytimes.com/2021/01/12/world/asia/afghanistan-attacks-pocket-notes.html,"KABUL, Afghanistan — Tareq Qassemi, a bookseller, lost a close friend to a suicide bombing that killed 80 civilians in Kabul one scorching summer day. Four years later, he still mourns his friend, but also the nameless Afghans who perished with him.",2021-01-12T15:17:09+0000,Asia Pacific
50,"Hundreds of destitute families moved to a town bordering North Korea after the war. Six decades later, their dream of owning the land they helped cultivate may finally come true.",https://www.nytimes.com/2021/01/12/world/asia/korea-war-farmers-land-border.html,"HAEAN, South Korea — Along the border with North Korea is a town where the sad legacy of war is perhaps best understood by looking at the crops in the field.",2021-01-12T17:05:46+0000,Asia Pacific
51,The renminbi is strengthening.,https://www.nytimes.com/2021/01/12/briefing/china-currency-virus-variant-japan-impeachment.html,"China’s currency, known as the yuan or the renminbi, has reached its strongest level in more than two years against the dollar and other major currencies, and it shows no signs of stopping.",2021-01-12T19:16:36+0000,Asia Pacific
52,A team of scientists say they have figured out the cicada-like life cycles of the many-legged arthropods.,https://www.nytimes.com/2021/01/12/science/millipede-swarms-japan-train.html,"Early in the 20th century, a train line opened for service in mountains west of Tokyo. But in 1920, train crews found themselves stopping traffic for an unusual reason. The train tracks, which ran through thick forest, were overwhelmed by swarms of millipedes, each arthropod as white as a ghost. The creatures, which are not insects and emit cyanide when attacked by a predator, were on some errand that remained mysterious even after they subsided into the dead leaves and soil.",2021-01-13T00:01:09+0000,Asia Pacific
53,"The North Korean leader said his economic policies had failed, but he called his nuclear arms buildup one of the great feats “in the history of the Korean nation​.”",https://www.nytimes.com/2021/01/13/world/asia/north-korea-kim-jong-un-nuclear.html,"SEOUL, South Korea — As North Korea’s leader, Kim Jong-un, convened ​a party congress over the past ​eight days, outside analysts wondered if his failure to improve the economic lives of his people would affect the dictator’s nuclear ambitions.",2021-01-13T05:29:55+0000,Asia Pacific
54,"Lee Man-hee’s church, Shincheonji, was the epicenter of the first wave of coronavirus infections in South Korea last year.",https://www.nytimes.com/2021/01/13/world/asia/korea-church-covid-trial-prison.html,"SEOUL, South Korea — The leader of a secretive religious sect that was at the center of a coronavirus outbreak in South Korea last year received a three-year prison term on Wednesday on charges including embezzling church money.",2021-01-13T08:28:42+0000,Asia Pacific
55,"Governments around the world have tried to support the arts during the pandemic, some more generously than others.",https://www.nytimes.com/2021/01/13/arts/coronavirus-pandemic-arts-support.html,"In December, owners and operators of theaters and music halls across the United States breathed a sigh of relief when Congress passed the latest coronavirus aid package, which finally set aside $15 billion to help desperate cultural venues. But that came more than six months after a host of other countries had taken steps to buffer the strain of the pandemic on the arts and artists. Here are the highlights, and missteps, from eight countries’ efforts.",2021-01-13T10:00:16+0000,Asia Pacific
56,"Brazil says CoronaVac has an efficacy rate just over 50 percent, much lower than previously announced. More than 380 million doses have already been ordered.",https://www.nytimes.com/2021/01/13/business/chinese-vaccine-brazil-sinovac.html,"Scientists in Brazil have downgraded the efficacy of a Chinese coronavirus vaccine that they hailed as a major triumph last week, diminishing hopes for a shot that could be quickly produced and easily distributed to help the developing world.",2021-01-13T10:24:59+0000,Asia Pacific
57,"The country is experiencing its worst coronavirus flare-up since last summer, testing the government’s success in subduing the disease.",https://www.nytimes.com/2021/01/13/world/asia/china-covid-lockdown.html,When a handful of new coronavirus cases materialized this month in a province surrounding Beijing — apparently spread at a village wedding party — the Chinese authorities bolted into action.,2021-01-13T11:46:02+0000,Asia Pacific
58,"The mothballing adds another possible factor in the crash of the 26-year-old Boeing 737-500, which killed 62 people on Sriwijaya Air Flight 182.",https://www.nytimes.com/2021/01/13/world/asia/indonesian-plane-crash-mothball.html,The aging plane flew during a heavy storm in a country with a long history of flight disasters. It had also been out of service for nine months.,2021-01-13T11:46:48+0000,Asia Pacific
59,"The depiction of the animal on an Indonesian island is at least 45,500 years old, the researchers say.",https://www.nytimes.com/2021/01/13/science/cave-painting-indonesia.html,"In a hidden valley on an Indonesian island, there is a cave decorated with what may be the oldest figurative art ever glimpsed by modern eyes.",2021-01-13T19:00:12+0000,Asia Pacific
60,A U.S. vote on impeachment.,https://www.nytimes.com/2021/01/13/briefing/trump-impeachment-vote-virus-china-lockdown.html,"The House of Representatives set itself on a course to impeach President Trump on Wednesday for a historic second time. A vote was underway to charge him for “inciting an insurrection” after his supporters stormed the Capitol last week. Follow our live updates, and our vote tracker.",2021-01-13T19:30:48+0000,Asia Pacific
61,Beijing has repeatedly impeded the global inquiry into the emergence of the coronavirus. Two scientists on the team remained in Singapore after testing positive for antibodies.,https://www.nytimes.com/2021/01/13/world/asia/china-who-wuhan-covid.html,"More than a year after a new coronavirus first emerged in China, a team of experts from the World Health Organization finally arrived on Thursday in the central city of Wuhan to begin hunting for its source.",2021-01-14T04:31:49+0000,Asia Pacific
62,"Prolific and widely-produced, Lauren Gunderson didn’t have to look far to create “The Catastrophist,” a play about risk that’s both timely and personal.",https://www.nytimes.com/2021/01/14/theater/lauren-gunderson-the-catastrophist-nathan-wolfe.html,"SAN FRANCISCO — Confined by the pandemic to her three-story Victorian home, Lauren Gunderson did not have to go far to find inspiration for her latest play. He was one room away, in the home office next to hers on the top floor.",2021-01-14T10:00:13+0000,Asia Pacific
63,"As the pandemic continues to erode revenue, the Swiss industry scrambles to mine its new No. 1 export market.",https://www.nytimes.com/2021/01/14/fashion/watches-china-swiss-export-leader.html,"As 2021 begins, the Swiss watch industry is navigating a new and unfamiliar retail landscape: For the first time, China is the world’s largest market for its products.",2021-01-14T10:06:08+0000,Asia Pacific
64,"The blaze comes as officials in Bangladesh look for longer-term solutions for the refugees from Myanmar, who fled anti-Muslim violence.",https://www.nytimes.com/2021/01/14/world/asia/rohingya-camp-fire-bangladesh.html,"A large fire tore through a crowded Rohingya camp in the Cox’s Bazar area of Bangladesh on Thursday, destroying hundreds of ramshackle shelters and forcing thousands of displaced Muslim refugees to flee in the winter chill.",2021-01-14T10:36:30+0000,Asia Pacific
65,Trump faces a Senate trial.,https://www.nytimes.com/2021/01/14/briefing/impeachment-trump-huawei-meng-virus-china.html,"President Trump, who became the first U.S. president to be impeached twice, is facing a trial in the Senate that could disqualify him from running for office again.",2021-01-14T18:46:59+0000,Asia Pacific
66,"Australians are facing a messy patchwork of border restrictions that lock out both the coronavirus and fellow citizens. A new ad offers a biting, if humorous, commentary on the state of affairs.",https://www.nytimes.com/2021/01/14/world/australia/state-border-restrictions-coronavirus.html,"SYDNEY, Australia — The viral ad begins with a man repainting a towering concrete barrier. “Today marks 10 years since our once united nation was divided by the Great State Walls,” a TV presenter announces.",2021-01-15T02:33:33+0000,Asia Pacific
