,title,url,lead_par,date,region
53, "Biden to visit Poland to discuss Russia's invasion of Ukraine", https://www.upi.com/Top_News/US/2022/03/21/Biden-visit-Poland/9711647850474/, "March 21 (UPI) -- U.S. President Joe Biden will travel to Poland on Friday to speak with President Andrzej Duda, as Warsaw and Washington have differed on their approaches to Russia's invasion of Ukraine.", March 21 2022, Ukraine
54, "Ukraine rejects Russia's demand to surrender besieged port city", https://www.upi.com/Top_News/World-News/2022/03/21/ukraine-rejects-Russian-demand-surrender-Mariupol/9091647844259/, "March 21 (UPI) -- Ukraine has rejected Russia's demand to surrender the besieged city of Mariupol in exchange for humanitarian corridors, saying the Kremlin was holding its citizens hostage.", March 21 2022, Ukraine
55, "Some workers at Russian-held Chernobyl nuclear facility allowed to rotate out", https://www.upi.com/Top_News/World-News/2022/03/20/ukraine-some-workers-chernobyl-nuclear-facility-allowed-rotate/4461647805386/, "March 20 (UPI) -- Some staff at the Chernobyl Nuclear Power Plant were allowed to leave on Sunday after being forced to remain at the facility nearly a month after it was seized by Russian forces.", March 20 2022, Ukraine
56, "Crowds protest in Ukraine and Poland as Russia arrests more demonstrators", https://www.upi.com/Top_News/World-News/2022/03/20/ukraine-crowds-protest-ukraine-poland-russia-continues-arrest-demonstrators/2941647800920/, "March 20 (UPI) -- Crowds gathered in Ukraine to protest the detention of the deputy mayor of Enerhodar while protesters blocked traffic at the Poland-Belarus border and Russia continued to arrest demonstrators against the invasion.", March 20 2022, Ukraine
57, "Italy, France COVID-19 cases surge amid new sub-variant", https://www.upi.com/Top_News/World-News/2022/03/20/world-cornavirus-italyfrance-cases-surge/5061647782917/, "March 20 (UPI) -- COVID-19 cases increased only 4% worldwide in the past week but some nations in Europe, including Italy with a 43% rise and France at 36%, have experienced surges.", March 20 2022, Ukraine
58, "Chemical weapons would violate international law, NATO boss warns Russia", https://www.upi.com/Top_News/World-News/2022/03/20/ukraine-nato-boss-warns-russia-chemical-weapons-violate-international-law/7921647797224/, "March 20 (UPI) -- NATO Secretary-General Jens Stoltenberg on Sunday warned Russia that the use of chemical weapons in Ukraine would violate international law.", March 20 2022, Ukraine
59, "Estimated 10 million Ukrainians forced to leave homes amid Russian invasion", https://www.upi.com/Top_News/World-News/2022/03/20/ukraine-estimated-10-million-ukrainians-forced-leave-homes-russian-invasion/6171647792790/, "March 20 (UPI) -- An estimated 10 million Ukrainians have been forced to leave their homes amid the Russian invasion, U.N. High Commissioner for Refugees Filippo Grandi said Sunday.", March 20 2022, Ukraine
60, "Zelensky urges Russia to negotiate peace to avoid 'a third World War'", https://www.upi.com/Top_News/World-News/2022/03/20/ukraine-zelensky-urges-russia-negotiate-peace-avoid-third-world-war/6191647786682/, "March 20 (UPI) -- Ukrainian President Volodymyr Zelensky urged Russian President Vladimir Putin on Sunday to negotiate a peaceful end to the invasion ito avoid "a third World War."", March 20 2022, Ukraine
61, "Pope Francis calls Russian invasion of Ukraine 'senseless massacre'", https://www.upi.com/Top_News/World-News/2022/03/20/vatican-city-pope-francis-calls-russian-invasion-ukraine-senseless-massacre/6341647788635/, "March 20 (UPI) -- Pope Francis on Sunday escalated his condemnation of Russia while calling the invasion of Ukraine a "senseless massacre" in an address to visitors at St. Peter's Square.", March 20 2022, Ukraine
62, "Russian forces bomb 400 civilians sheltering in Ukraine school", https://www.upi.com/Top_News/World-News/2022/03/20/ukraine-russian-forces-bomb-civilians-drama-school-humanitarian-corridors-save-thousands/9621647783579/, "March 20 (UPI) -- Russian forces bombed a drama school in the besieged city of Mariupol where about 400 civilians had been sheltering from the fighting, Ukrainian officials said.", March 20 2022, Ukraine
63, "Boris Johnson draws criticism after comparing Brexit to Ukraine defense", https://www.upi.com/Top_News/World-News/2022/03/19/UK-Boris-Johnson-Brexit-Ukraine-comparison/3741647739423/, "March 19 (UPI) -- British Prime Minister Boris Johnson compared Brexit to Ukraine's defense against a Russian invasion in a speech on Saturday, claiming both decisions reflect an instinct to "choose freedom."", March 19 2022, Ukraine
64, "Russia dismisses controversy over flight suits colored like Ukrainian flag", https://www.upi.com/Top_News/World-News/2022/03/19/russian-space-agency-roscosmos-dismisses-flightsuit-color-controversy-ukraine/6501647737391/, "March 19 (UPI) -- The Russian space agency Roscosmos fought back against reports that three Russian cosmonauts who wore yellow suits trimmed with blue while boarding the International Space Station on Friday did so in support of Ukraine.", March 19 2022, Ukraine
65, "Mariupol residents being forcibly taken to Russia, city council reports", https://www.upi.com/Top_News/World-News/2022/03/19/Ukraine-Mariupol-residents-relocated-Russia/7751647735423/, "March 19 (UPI) -- Residents of Mariupol, Ukraine, are being forcibly relocated to Russian territory against their will, according to a statement Saturday from the Mariupol City Council.", March 19 2022, Ukraine
66, "Children fleeing Ukraine at risk of human trafficking, U.N. warns", https://www.upi.com/Top_News/World-News/2022/03/19/ukraine-children-fleeing-ukraine-at-risk-human-trafficking-exploitation-un-warns/9441647726492/, "March 19 (UPI) -- The United Nations Children's Fund warned Saturday that children fleeing the war in Ukraine are at a high risk for human trafficking and exploitation.", March 19 2022, Ukraine
67, "SpaceX launches 53 Starlink satellites after weather delays", https://www.upi.com/Science_News/2022/03/19/spacex-launches-53-starlink-sattellites-weather-delays/1861647715900/, "March 19 (UPI) -- Elon Musk's SpaceX launched 53 Starlink satellites from Florida early Saturday morning after the launch was postponed Friday night because of stormy weather.", March 19 2022, Ukraine
68, "Zelensky tells Moscow it's time to negotiate peace", https://www.upi.com/Top_News/World-News/2022/03/19/ukraine-zelensky-tells-moscow-time-negotiate-peace/6881647695316/, "March 19 (UPI) -- Ukrainian President Volodymyr Zelensky told Moscow in a Saturday video message that it's time to negotiate peace.", March 19 2022, Ukraine
69, "At least 847 Ukrainian civilians killed since start of Russian invasion, U.N. says", https://www.upi.com/Top_News/World-News/2022/03/19/ukraine-Russian-miltary-strike-barracks-dozens-troops-die/7121647691225/, "March 19 (UPI) -- The Russian invasion of Ukraine has killed at least 847 civilians since the war began and dozens of Ukrainian troops, the United Nations and local officials said Saturday.", March 19 2022, Ukraine
70, "4 U.S. Marines killed in Osprey crash in Norway", https://www.upi.com/Top_News/World-News/2022/03/19/norway-Norway-Marines-killed-Osprey/7511647693183/, "March 19 (UPI) -- Four U.S. Marines aboard a military helicopter that crashed during training in Norway were confirmed killed Saturday by Norwegian officials.", March 19 2022, Ukraine
71, "Clinton, Bush lay flowers outside Ukrainian church in Chicago", https://www.upi.com/Top_News/US/2022/03/18/presidents-clinton-bush-lay-sunflowers-ukrainian-church-chicago/4881647659128/, "March 18 (UPI) -- Former Presidents Bill Clinton and George W. Bush together visited a Ukrainian church in Chicago on Friday in a bipartisan show of support for the country amid the Russian invasion.", March 18 2022, Ukraine
72, "Four U.S. Marines missing after Osprey crashes in Norway", https://www.upi.com/Top_News/World-News/2022/03/18/us-marines-helicopter-crashes-norway/9271647655174/, "March 18 (UPI) -- A military aircraft carrying four U.S. Marines crashed in Norway on Friday while conducting a training mission, officials with Norway's armed forces said.", March 18 2022, Ukraine
73, "Putin gives speech marking anniversary of Crimea annexation", https://www.upi.com/Top_News/World-News/2022/03/18/putin-gives-speech-anniversary-crimea-annexation/3221647652345/, "March 18 (UPI) -- President Vladimir Putin gave a speech Friday marking the anniversary of the Russian annexation of Crimea in March 2014 during a rally in a stadium in Moscow.", March 18 2022, Ukraine
74, "Stocks end week with biggest gains since 2020", https://www.upi.com/Top_News/US/2022/03/18/stocks-end-week-biggest-gains-since-2020/1721647638118/, "March 18 (UPI) -- The three major stock market indexes in the United States ended the week Friday with the biggest gains since November 2020.", March 18 2022, Ukraine
